Sentiment,Previous,Direction
0,1,-1
0.15,-1,1
0.119047619,1,-1
0.191666667,-1,-1
0.311111111,-1,-1
0.226666667,-1,-1
0.275,-1,-1
0.127083333,-1,-1
0.2,-1,1
-0.033333333,1,1
0,1,1
0.7,1,1
-0.025,1,1
0.125,1,1
0.1,1,-1
0.216666667,-1,1
0.083838384,1,1
0,1,1
0,1,1
0.175,1,1
0.13125,1,-1
0.083333333,-1,1
0.094949495,1,-1
0,-1,-1
0,-1,-1
0.219444444,-1,-1
0.18125,-1,-1
0.053636364,-1,1
0.373611111,1,-1
0.174107143,-1,1
0.193333333,1,-1
0,-1,-1
0.041666667,-1,-1
0.25,-1,-1
0,-1,1
0.1,1,1
-0.24,1,-1
0.45,-1,-1
0.034090909,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,1
0,1,1
0,1,1
0,1,1
0.258333333,1,1
-0.5,1,1
0.225,1,1
0.466666667,1,-1
0.3,-1,-1
0.068181818,-1,-1
0.08625,-1,-1
0.15,-1,-1
0,-1,-1
0.018326118,-1,1
0.471428571,1,1
1,1,1
0.55,1,1
0,1,1
0,1,1
0,1,1
0,1,-1
0.151255411,-1,1
-0.5,1,-1
-0.077272727,-1,-1
0,-1,1
0.4,1,1
0,1,1
0.341666667,1,1
0.35,1,1
0.15,1,-1
-0.366666667,-1,1
0.084090909,1,1
0.378030303,1,1
0.108333333,1,1
0,1,1
0,1,1
-0.059375,1,-1
0.233333333,-1,-1
0,-1,1
0,1,1
0,1,1
0,1,-1
0.144791667,-1,1
0,1,1
0.251515152,1,-1
0.125636364,-1,-1
0.375,-1,-1
0.136363636,-1,-1
0.101515152,-1,-1
0.074675325,-1,1
0,1,-1
0.108878968,-1,1
-0.033333333,1,-1
0,-1,-1
-0.108333333,-1,-1
-0.55,-1,-1
0.125,-1,-1
0.25,-1,-1
0.3025,-1,-1
0,-1,-1
0.086489899,-1,-1
0.304040404,-1,-1
0.181818182,-1,1
0.1375,1,-1
0.216666667,-1,1
0.4,1,1
0.475,1,1
0,1,1
0.575,1,1
0.475,1,-1
0.244166667,-1,-1
0.139520202,-1,1
0.13,1,-1
0.204040404,-1,1
0.088701299,1,1
0.323333333,1,1
0.117045455,1,-1
0.02,-1,1
-0.016666667,1,-1
0.293181818,-1,-1
0,-1,1
0,1,1
0.034090909,1,1
0,1,-1
0.35,-1,1
0,1,1
0.136363636,1,1
0.5,1,-1
-0.077272727,-1,-1
0,-1,-1
0.102272727,-1,-1
0,-1,1
0,1,-1
0,-1,-1
0,-1,1
0.25,1,1
-0.166666667,1,1
0,1,-1
0.075,-1,1
0,1,1
0.247708333,1,-1
0,-1,-1
0,-1,-1
-0.05,-1,-1
0.106845238,-1,1
0.059090909,1,1
0.08,1,1
0.238095238,1,1
0,1,-1
0.8,-1,-1
0.5,-1,-1
0.466666667,-1,1
0.198958333,1,-1
0.233333333,-1,1
0.375,1,-1
0,-1,1
0.25,1,1
0.1,1,1
0.083333333,1,-1
0.225,-1,-1
0.06043771,-1,1
0.017045455,1,-1
0,-1,1
0.025,1,1
0,1,1
0.225,1,1
0,1,1
0,1,-1
0.110740741,-1,-1
0.226666667,-1,1
0.158333333,1,1
0.125,1,1
0.121818182,1,-1
0.142045455,-1,-1
-0.15,-1,1
-0.035714286,1,-1
0,-1,-1
0,-1,-1
0.1,-1,-1
0,-1,1
0.009090909,1,1
0.034090909,1,1
0.15,1,-1
0.2,-1,-1
0,-1,-1
0.25,-1,-1
0.128787879,-1,1
0,1,-1
0.169444444,-1,-1
0,-1,-1
0.2,-1,-1
0.21,-1,-1
0.025,-1,-1
0.08,-1,1
-0.083333333,1,-1
0,-1,1
0,1,-1
0.227160494,-1,-1
0.110708333,-1,-1
0.1,-1,-1
0.341666667,-1,-1
