Date,Sentiment,Daily Change,Direction
01/07/2015,0,0,DOWN
02/07/2015,0.15,10.869995,UP
03/07/2015,0.119047619,-0.149994,DOWN
04/07/2015,0.191666667,-0.074997,DOWN
05/07/2015,0.311111111,-0.0374985,DOWN
06/07/2015,0.226666667,-0.0374985,DOWN
07/07/2015,0.275,-11.839996,DOWN
08/07/2015,0.127083333,-12.919998,DOWN
09/07/2015,0.2,2.960006,UP
10/07/2015,-0.033333333,1.229981,UP
11/07/2015,0,1.505005,UP
12/07/2015,0.7,0.7525025,UP
13/07/2015,-0.025,0.7525025,UP
14/07/2015,0.125,3.48999,UP
15/07/2015,0.1,-2.509979,DOWN
16/07/2015,0.216666667,3.539978,UP
17/07/2015,0.083838384,7.980011,UP
18/07/2015,0,3.800003,UP
19/07/2015,0,1.9000015,UP
20/07/2015,0.175,1.9000015,UP
21/07/2015,0.13125,-15.490021,DOWN
22/07/2015,0.083333333,1.100006,UP
23/07/2015,0.094949495,-0.669983,DOWN
24/07/2015,0,-1.790008,DOWN
25/07/2015,0,-6.2000045,DOWN
26/07/2015,0.219444444,-3.10000225,DOWN
27/07/2015,0.18125,-3.10000225,DOWN
28/07/2015,0.053636364,11.810012,UP
29/07/2015,0.373611111,-1,DOWN
30/07/2015,0.174107143,2.970002,UP
31/07/2015,0.193333333,-0.640015,DOWN
01/08/2015,0,-3.080002,DOWN
02/08/2015,0.041666667,-1.540001,DOWN
03/08/2015,0.25,-1.540001,DOWN
04/08/2015,0,6.290009,UP
05/08/2015,0.1,3.850006,UP
06/08/2015,-0.24,-24,DOWN
07/08/2015,0.45,-3.62001,DOWN
08/08/2015,0.034090909,-0.684998,DOWN
09/08/2015,0,-0.342499,DOWN
10/08/2015,0,-0.342499,DOWN
11/08/2015,0,-3.770004,DOWN
12/08/2015,0,0.800003,UP
13/08/2015,0,4.339997,UP
14/08/2015,0,0.639999,UP
15/08/2015,0,5.9200055,UP
16/08/2015,0.258333333,2.96000275,UP
17/08/2015,-0.5,2.96000275,UP
18/08/2015,0.225,5.729996,UP
19/08/2015,0.466666667,-5.470001,DOWN
20/08/2015,0.3,-13.070007,DOWN
21/08/2015,0.068181818,-11.409989,DOWN
22/08/2015,0.08625,-5.9500045,DOWN
23/08/2015,0.15,-2.97500225,DOWN
24/08/2015,0,-2.97500225,DOWN
25/08/2015,0.018326118,1.160004,UP
26/08/2015,0.471428571,4.809997,UP
27/08/2015,1,18.150009,UP
28/08/2015,0.55,5.489991,UP
29/08/2015,0,0.290001,UP
30/08/2015,0,0.1450005,UP
